1, num, 13, 464, 877
1, death, 12, 10, 6
1, sinki, 0, 454, 871
2, num, 1, 501, 871
2, death, 0, 21, 871
2, sinki, 0, 47, 0
3, num, 1, 517, 0
3, death, 0, 20, 0
3, sinki, 0, 37, 0
4, num, 1, 535, 0
4, death, 0, 24, 0
4, sinki, 0, 38, 0
5, num, 1, 548, 0
5, death, 0, 17, 0
5, sinki, 0, 37, 0
6, num, 1, 823, 0
6, death, 1, 521, 0
6, sinki, 0, 292, 0
7, num, 0, 345, 0
7, death, 0, 20, 0
7, sinki, 0, 43, 0
8, num, 0, 358, 0
8, death, 0, 15, 0
8, sinki, 0, 33, 0
9, num, 0, 386, 0
9, death, 0, 10, 0
9, sinki, 0, 43, 0
10, num, 0, 413, 0
10, death, 0, 16, 0
10, sinki, 0, 37, 0
